base,threshold,auc,brier_score,acuracia,precision_0,recall_0,f1_0,precision_1,recall_1
treino,0.76,0.8253036085304746,0.07255383887458047,0.8673660547021357,0.43656207366984995,0.5203252032520326,0.47477744807121663,0.9359391965255157,0.9125555790810925
teste,0.76,0.8331583430120015,0.07186101192543123,0.8640449438202247,0.4317343173431734,0.5707317073170731,0.49159663865546216,0.9416832339297548,0.9022222222222223
