faixa,qtd_boletos,prob_media_modelo,taxa_pagamento_real,erro_calibracao,erro_abs_calibracao
"(0.0873, 0.66]",178,0.44121642198320954,0.4550561797752809,-0.013839757792071361,0.013839757792071361
"(0.66, 0.803]",178,0.7470907341022781,0.7921348314606742,-0.045044097358396096,0.045044097358396096
"(0.803, 0.898]",178,0.8550940747102398,0.8876404494382022,-0.0325463747279624,0.0325463747279624
"(0.898, 0.934]",178,0.9192379486941304,0.9438202247191011,-0.02458227602497065,0.02458227602497065
"(0.934, 0.956]",178,0.9464158422256281,0.9213483146067416,0.02506752761888653,0.02506752761888653
"(0.956, 0.967]",178,0.9616035665439069,0.9438202247191011,0.017783341824805787,0.017783341824805787
"(0.967, 0.972]",178,0.9699099652955381,0.9775280898876404,-0.0076181245921023155,0.0076181245921023155
"(0.972, 0.977]",178,0.9740752014651824,0.9606741573033708,0.013401044161811648,0.013401044161811648
"(0.977, 0.982]",178,0.9794721139456876,0.9775280898876404,0.0019440240580471668,0.0019440240580471668
"(0.982, 0.995]",178,0.9856189325333351,0.9887640449438202,-0.003145112410485096,0.003145112410485096
