threshold,recall_0,precision_0,f1_0,recall_1,precision_1,auc,acuracia
0.3,0.2634146341463415,0.9642857142857143,0.41379310344827586,0.9987301587301587,0.9124129930394431,0.8331583430120015,0.9140449438202247
0.32,0.28292682926829266,0.9508196721311475,0.43609022556390975,0.9980952380952381,0.9144851657940664,0.8331583430120015,0.9157303370786517
0.34,0.2975609756097561,0.9384615384615385,0.45185185185185184,0.9974603174603175,0.9160349854227405,0.8331583430120015,0.9168539325842696
0.36,0.2975609756097561,0.9242424242424242,0.45018450184501846,0.9968253968253968,0.9159859976662778,0.8331583430120015,0.9162921348314607
0.38,0.3024390243902439,0.8857142857142857,0.4509090909090909,0.9949206349206349,0.916374269005848,0.8331583430120015,0.9151685393258427
0.4,0.3170731707317073,0.8904109589041096,0.4676258992805755,0.9949206349206349,0.9179847685998829,0.8331583430120015,0.9168539325842696
0.42,0.3170731707317073,0.8441558441558441,0.46099290780141844,0.9923809523809524,0.9177921315325895,0.8331583430120015,0.9146067415730337
0.44,0.32195121951219513,0.8461538461538461,0.4664310954063604,0.9923809523809524,0.918331374853114,0.8331583430120015,0.9151685393258427
0.46,0.33658536585365856,0.8023255813953488,0.4742268041237113,0.9892063492063492,0.9197166469893743,0.8331583430120015,0.9140449438202247
0.48,0.3463414634146341,0.7802197802197802,0.4797297297297297,0.9873015873015873,0.9206631142687981,0.8331583430120015,0.9134831460674158
0.5,0.35121951219512193,0.7659574468085106,0.4816053511705686,0.986031746031746,0.9211150652431791,0.8331583430120015,0.9129213483146067
0.52,0.35609756097560974,0.7448979591836735,0.48184818481848185,0.9841269841269841,0.9215219976218787,0.8331583430120015,0.9117977528089888
0.54,0.3902439024390244,0.7339449541284404,0.5095541401273885,0.9815873015873016,0.9251944943147815,0.8331583430120015,0.9134831460674158
0.56,0.3951219512195122,0.7043478260869566,0.50625,0.9784126984126984,0.9255255255255255,0.8331583430120015,0.9112359550561798
0.58,0.4,0.6890756302521008,0.5061728395061729,0.9765079365079365,0.925948223961469,0.8331583430120015,0.9101123595505618
0.6,0.43902439024390244,0.6766917293233082,0.5325443786982249,0.9726984126984127,0.9301760777170613,0.8331583430120015,0.9112359550561798
0.62,0.45365853658536587,0.6549295774647887,0.5360230547550432,0.9688888888888889,0.9316239316239316,0.8331583430120015,0.9095505617977528
0.64,0.4585365853658537,0.5875,0.5150684931506849,0.9580952380952381,0.9314814814814815,0.8331583430120015,0.900561797752809
0.66,0.47317073170731705,0.5449438202247191,0.5065274151436031,0.9485714285714286,0.9325842696629213,0.8331583430120015,0.8938202247191012
0.68,0.48292682926829267,0.5129533678756477,0.49748743718592964,0.9403174603174603,0.9332073093887838,0.8331583430120015,0.8876404494382022
0.7,0.4975609756097561,0.4880382775119617,0.4927536231884058,0.932063492063492,0.9344366645448758,0.8331583430120015,0.8820224719101124
0.72,0.5170731707317073,0.4608695652173913,0.48735632183908045,0.9212698412698412,0.9361290322580645,0.8331583430120015,0.8747191011235955
0.74,0.5317073170731708,0.44672131147540983,0.48552338530066813,0.9142857142857143,0.9375,0.8331583430120015,0.8702247191011236
0.76,0.5707317073170731,0.4317343173431734,0.49159663865546216,0.9022222222222223,0.9416832339297548,0.8331583430120015,0.8640449438202247
0.78,0.6097560975609756,0.4032258064516129,0.4854368932038835,0.8825396825396825,0.9455782312925171,0.8331583430120015,0.851123595505618
0.8,0.6536585365853659,0.38285714285714284,0.4828828828828829,0.8628571428571429,0.9503496503496504,0.8331583430120015,0.8387640449438202
0.82,0.6878048780487804,0.3681462140992167,0.47959183673469385,0.8463492063492063,0.9541875447387258,0.8331583430120015,0.8280898876404494
0.84,0.7073170731707317,0.35279805352798055,0.4707792207792208,0.8311111111111111,0.956172388604821,0.8331583430120015,0.8168539325842696
0.86,0.7170731707317073,0.3237885462555066,0.44613050075872535,0.8050793650793651,0.9562594268476622,0.8331583430120015,0.7949438202247191
0.88,0.7365853658536585,0.3075356415478615,0.4339080459770115,0.7841269841269841,0.9581070597362297,0.8331583430120015,0.7786516853932585
0.9,0.751219512195122,0.28413284132841327,0.41231593038821956,0.7536507936507937,0.9588045234248789,0.8331583430120015,0.753370786516854
